,0
chuathbaluk_ak,118.0
chefornak_ak,418.0
deering_ak,122.0
emmonak_ak,762.0
golovin_ak,156.0
goodnews_bay_ak,243.0
hooper_bay_ak,1093.0
grayling_ak,194.0
kalskag_ak,282.0
kotlik_ak,577.0
kipnuk_ak,639.0
brevig_mission_ak,388.0
kivalina_ak,374.0
marshall_ak,414.0
mountain_village_ak,813.0
mekoryuk_ak,191.0
nightmute_ak,280.0
kobuk_ak,151.0
noorvik_ak,668.0
platinum_ak,61.0
red_devil_ak,309.0
russian_mission_ak,388.0
shungnak_ak,262.0
shishmaref_ak,563.0
sleetmute_ak,86.0
stony_river_ak,54.0
savoonga_ak,671.0
sheldon_point_ak,1930.0
tununak_ak,327.0
chevak_ak,938.0
stebbins_ak,556.0
selawik_ak,829.0
noatak_ak,514.0
anaktuvuk_pass_ak,324.0
fort_yukon_ak,583.0
lake_minchumina_ak,13.0
nulato_ak,264.0
ruby_ak,166.0
tanana_ak,246.0
homer_ak,5003.0
kasigluk_ak,569.0
aleknagik_ak,219.0
newtok_ak,354.0
nanwalek_ak,
ninilchik_ak,883.0
seldovia_ak,255.0
nikolski_ak,18.0
iliamna_ak,109.0
st_george_island_ak,31535.0
tatitlek_ak,88.0
atka_ak,61.0
brownsville_tx,175023.0
gary_in,80294.0
laredo_tx,236091.0
smyrna_tn,39974.0
red_dog_ak,309.0
chicken_ak,7.0
tok_ak,1258.0
abilene_tx,117063.0
nantucket_ma,7446.0
alpena_mi,10483.0
bishop_ca,3879.0
bemidji_mn,13431.0
brownwood_tx,19288.0
cedar_city_ut,28857.0
chiloquin_or,734.0
sault_ste_marie_mi,129699.0
college_stationbryan_tx,93857.0
hancockhoughton_mi,7708.0
cody_wy,9520.0
corvallis_or,54462.0
dothan_al,65496.0
dickinson_nd,17787.0
del_rio_tx,35591.0
kearney_ne,30787.0
eureka_ca,27191.0
escanaba_mi,12616.0
eastsound_wa,
farmington_nm,45877.0
friday_harbor_wa,22075.0
gaithersburg_md,59933.0
garden_city_ks,26658.0
gallup_nm,21678.0
lake_havasu_city_az,52527.0
iron_mountainkingsfd_mi,7624.0
el_centro_ca,153015.0
williamsport_pa,29381.0
williston_nd,14716.0
inyokern_ca,1099.0
jamestown_ny,31146.0
la_grande_or,156185.0
manteo_nc,1434.0
marathon_fl,8297.0
marthas_vineyard_ma,2114.0
beaufort_nc,9744.0
wolf_point_mt,2621.0
newport_or,9989.0
plattsburgh_ny,19989.0
pierre_sd,13646.0
pellston_mi,822.0
presque_islehoulton_me,9692.0
paso_robles_ca,29793.0
roseburg_or,21181.0
rhinelander_wi,7798.0
rock_springs_wy,23036.0
comanche_tx,4335.0
salisbury_md,30343.0
st_george_ut,186440.0
san_angelo_tx,1327407.0
thief_river_falls_mn,22974.0
ukiah_ca,16075.0
circle_mt,615.0
visalia_ca,124442.0
alpine_ak,
nixon_fork_mine_ak,309.0
santa_monica_ca,945942.0
minneapolisst_paul_mn,382578.0
van_nuys_ca,6497.0
skagway_ak,920.0
napa_ca,76915.0
lazy_bay_ak,
port_williams_ak,
uganik_ak,
central_ak,96.0
stevens_village_ak,813.0
beaver_ak,84.0
allakaket_ak,105.0
huslia_ak,275.0
nunapitchuk_ak,496.0
egegik_ak,109.0
port_moller_ak,
albany_ga,77434.0
blytheville_ar,15620.0
alexandria_mn,11070.0
gulkana_ak,119.0
mccarthy_ak,28.0
may_creek_ak,481.0
needles_ca,4844.0
burlingtonmount_vernon_wa,31743.0
